id,kind,parsed_dt,rrule,text,core
518,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Note: call plumber every Tuesday after work,every Tuesday
519,date-only,2025-03-27T00:00:00+00:00,,Odd jobs: water the plants 03/27/2025,03/27/2025
520,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Task: update spreadsheet every 2 months,every 2 months
521,date-only,2025-11-06T00:00:00+00:00,,Follow up: 06/11/2025 update spreadsheet,06/11/2025
522,date-only,2024-09-29T00:00:00+00:00,,email client 09/29/2024,09/29/2024
523,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Follow up: every Tuesday on weekdays pay electricity bill — asap,every Tuesday on weekdays
524,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Next: every Saturday on weekdays buy milk for project X,every Saturday on weekdays
525,recurrence-only,,FREQ=DAILY;INTERVAL=2,Chore: buy milk every 2 days #home,every 2 days
526,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,every Wednesday wash car (low),every Wednesday
527,date-only,2025-06-19T00:00:00+00:00,,mow the lawn 06/19/2025 — asap,06/19/2025
528,recurrence-only,,FREQ=WEEKLY,TODO: buy milk every weekend on weekends #home,every weekend on weekends
529,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,wash car each fortnight,each fortnight
530,date-only,2026-09-22T00:00:00+00:00,,Task: review PR 09/22/2026 #work,09/22/2026
531,recurrence-only,,FREQ=DAILY;INTERVAL=2,Odd jobs: buy milk every 2 days (evening),every 2 days
532,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Task: pay electricity bill every Saturday at Bunnings,every Saturday
533,date-only,2025-11-13T00:00:00+00:00,,Odd jobs: pay electricity bill 13/11/2025 after work,13/11/2025
534,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Follow up: every Thursday review PR at Bunnings,every Thursday
535,recurrence-only,,FREQ=MONTHLY,every month pay electricity bill — before lunch,every month
536,date-only,2026-02-16T00:00:00+00:00,,Odd jobs: 2026-02-16 buy milk #home,2026-02-16
537,date-only,2026-02-09T00:00:00+00:00,,Note: 09/02/2026 mow the lawn at Bunnings,09/02/2026
538,date-only,2026-04-15T00:00:00+00:00,,Plan: 04/15/2026 review PR (low),04/15/2026
539,date-only,2025-08-26T00:00:00+00:00,,email client 26/08/2025 after work,26/08/2025
540,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,backup photos every Wednesday #work,every Wednesday
541,date-only,2025-03-07T00:00:00+00:00,,Odd jobs: 2025-03-07 email client at Bunnings,2025-03-07
542,recurrence-only,,FREQ=DAILY;INTERVAL=4,Note: buy milk every 4 days on weekends — asap,every 4 days on weekends
543,date-only,2025-05-15T00:00:00+00:00,,TODO: 2025-05-15 backup photos,2025-05-15
544,date-only,2025-12-23T00:00:00+00:00,,12/23/2025 call plumber,12/23/2025
545,recurrence-only,,FREQ=MONTHLY,Note: pay electricity bill every month — asap,every month
546,date-only,2025-12-29T00:00:00+00:00,,buy milk 12/29/2025 (evening),12/29/2025
547,date-only,2026-06-28T00:00:00+00:00,,Bills: 28/06/2026 update spreadsheet #home,28/06/2026
548,date-only,2026-09-10T00:00:00+00:00,,Task: pay electricity bill 2026-09-10 (low),2026-09-10
549,date-only,2025-08-29T00:00:00+00:00,,Odd jobs: pay electricity bill 08/29/2025 — before lunch,08/29/2025
550,recurrence-only,,FREQ=DAILY;INTERVAL=3,Plan: email client every 3 days on weekends,every 3 days on weekends
551,recurrence-only,,FREQ=DAILY;INTERVAL=4,Odd jobs: update spreadsheet every 4 days at Bunnings,every 4 days
552,date-only,2026-03-05T00:00:00+00:00,,Bills: update spreadsheet 2026-03-05 #work,2026-03-05
553,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Reminder: book dentist every year on 25/12,every year on 25/12
554,date-only,2026-04-14T00:00:00+00:00,,Errands: clean garage 04/14/2026 — before lunch,04/14/2026
555,date-only,2026-03-28T00:00:00+00:00,,Bills: 28/03/2026 pay electricity bill at Bunnings,28/03/2026
556,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,review PR every week on Monday on weekends,every week on Monday on weekends
557,date-only,2024-12-06T00:00:00+00:00,,2024-12-06 call plumber with John,2024-12-06
558,date-only,2025-04-09T00:00:00+00:00,,Chore: buy milk 09/04/2025 with John,09/04/2025
559,date-only,2024-10-17T00:00:00+00:00,,pay electricity bill 2024-10-17,2024-10-17
560,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Chore: every Wednesday buy milk (low),every Wednesday
561,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Odd jobs: call plumber every 2 weeks (evening),every 2 weeks
562,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Odd jobs: every Friday at 9am email client — before lunch,every Friday at 9am
563,recurrence+date,2026-01-12T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=3,Follow up: water the plants every 3 weeks starting 12/01/2026,every 3 weeks starting 12/01/2026
564,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Reminder: update spreadsheet every week on Monday (low),every week on Monday
565,recurrence-only,,FREQ=WEEKLY,Odd jobs: email client every weekend at 9am #home,every weekend at 9am
566,date-only,2026-05-09T00:00:00+00:00,,Plan: update spreadsheet 09/05/2026 at Bunnings,09/05/2026
567,date-only,2025-02-21T00:00:00+00:00,,Bills: email client 02/21/2025,02/21/2025
568,date-only,2024-10-29T00:00:00+00:00,,Groceries: review PR 10/29/2024 — asap,10/29/2024
569,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Bills: review PR every Monday — before lunch,every Monday
570,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: every 2 weeks wash car for project X,every 2 weeks
571,date-only,2024-12-01T00:00:00+00:00,,Errands: email client 01/12/2024 after work,01/12/2024
572,recurrence-only,,FREQ=MONTHLY,every month on the 1st pay electricity bill with John,every month on the 1st
573,recurrence-only,,FREQ=DAILY;INTERVAL=2,backup photos every 2 days,every 2 days
574,date-only,2025-03-10T00:00:00+00:00,,Odd jobs: email client 10/03/2025,10/03/2025
575,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Errands: every 2 months water the plants,every 2 months
576,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Next: every year on weekdays water the plants after work,every year on weekdays
577,recurrence-only,,FREQ=DAILY;INTERVAL=2,Bills: wash car every second day,every second day
578,date-only,2025-06-12T00:00:00+00:00,,Reminder: 2025-06-12 email client with John,2025-06-12
579,date-only,2024-10-17T00:00:00+00:00,,Groceries: mow the lawn 10/17/2024,10/17/2024
580,recurrence+date,2025-08-07T00:00:00+00:00,FREQ=DAILY;INTERVAL=5,every 5 days starting 2025-08-07 book dentist (evening),every 5 days starting 2025-08-07
581,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Next: every Friday buy milk,every Friday
582,recurrence+date,2025-05-30T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,Reminder: email client every second week starting 30/05/2025 #work,every second week starting 30/05/2025
583,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,mow the lawn every week on Monday at 5:30pm (low),every week on Monday at 5:30pm
584,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Bills: book dentist every Monday (evening),every Monday
585,date-only,2024-12-27T00:00:00+00:00,,Follow up: call plumber 12/27/2024,12/27/2024
586,date-only,2025-01-03T00:00:00+00:00,,Reminder: 03/01/2025 water the plants,03/01/2025
587,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Errands: water the plants every year on 25/12 #home,every year on 25/12
588,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,every 3 weeks water the plants,every 3 weeks
589,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Note: backup photos every quarter #work,every quarter
590,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,backup photos every second week (low),every second week
591,date-only,2025-03-22T00:00:00+00:00,,TODO: book dentist 2025-03-22 #work,2025-03-22
592,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Follow up: every Thursday review PR,every Thursday
593,date-only,2025-06-20T00:00:00+00:00,,book dentist 06/20/2025,06/20/2025
594,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Plan: book dentist every Sunday with John,every Sunday
595,recurrence-only,,FREQ=DAILY;INTERVAL=2,Chore: wash car every 2 days (low),every 2 days
596,recurrence-only,,FREQ=YEARLY,Next: every year at 9am wash car,every year at 9am
597,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Groceries: pay electricity bill every Thursday,every Thursday
598,date-only,2025-02-12T00:00:00+00:00,,Task: 12/02/2025 book dentist (low),12/02/2025
599,date-only,2025-03-19T00:00:00+00:00,,Odd jobs: email client 19/03/2025 with John,19/03/2025
600,recurrence+date,2024-10-04T00:00:00+00:00,FREQ=WEEKLY,Plan: email client every weekend starting 2024-10-04,every weekend starting 2024-10-04
601,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Plan: every Monday review PR #work,every Monday
602,date-only,2025-12-16T00:00:00+00:00,,TODO: 12/16/2025 mow the lawn (low),12/16/2025
603,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Follow up: buy milk every quarter after work,every quarter
604,recurrence+date,2025-12-05T00:00:00+00:00,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Chore: clean garage every weekday starting 2025-12-05 at Bunnings,every weekday starting 2025-12-05
605,date-only,2024-09-28T00:00:00+00:00,,Follow up: water the plants 2024-09-28 #home,2024-09-28
606,date-only,2026-09-25T00:00:00+00:00,,Note: pay electricity bill 09/25/2026 at Bunnings,09/25/2026
607,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,TODO: email client every Friday — asap,every Friday
608,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,every Sunday at 9am book dentist,every Sunday at 9am
609,date-only,2024-11-24T00:00:00+00:00,,Bills: review PR 24/11/2024 #home,24/11/2024
610,date-only,2025-05-16T00:00:00+00:00,,Reminder: update spreadsheet 16/05/2025 for project X,16/05/2025
611,recurrence-only,,FREQ=DAILY;INTERVAL=5,Errands: every 5 days pay electricity bill,every 5 days
612,date-only,2026-09-21T00:00:00+00:00,,Errands: review PR 09/21/2026 — before lunch,09/21/2026
613,recurrence-only,,FREQ=MONTHLY,every month on the 1st water the plants (evening),every month on the 1st
614,date-only,2025-01-07T00:00:00+00:00,,review PR 07/01/2025 — before lunch,07/01/2025
615,date-only,2026-02-17T00:00:00+00:00,,Bills: update spreadsheet 02/17/2026,02/17/2026
616,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: every second week wash car,every second week
617,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Chore: book dentist every 3 weeks — asap,every 3 weeks
618,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: book dentist every 2 weeks (evening),every 2 weeks
619,recurrence-only,,FREQ=DAILY;INTERVAL=2,Next: every 2 days on weekends book dentist #home,every 2 days on weekends
620,date-only,2025-04-27T00:00:00+00:00,,Follow up: wash car 04/27/2025 with John,04/27/2025
621,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Odd jobs: review PR every quarter at Bunnings,every quarter
622,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Next: every 4 weeks at 9am mow the lawn at Bunnings,every 4 weeks at 9am
623,recurrence-only,,FREQ=MONTHLY,Groceries: every month on the 1st mow the lawn for project X,every month on the 1st
624,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,TODO: book dentist each fortnight on weekdays,each fortnight on weekdays
625,date-only,2025-07-29T00:00:00+00:00,,07/29/2025 review PR,07/29/2025
626,date-only,2025-11-16T00:00:00+00:00,,Note: review PR 2025-11-16 #home,2025-11-16
627,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: every second week email client (evening),every second week
628,recurrence-only,,FREQ=DAILY;INTERVAL=5,TODO: call plumber every 5 days on weekdays,every 5 days on weekdays
629,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: every 2 weeks on weekends water the plants,every 2 weeks on weekends
630,date-only,2024-04-12T00:00:00+00:00,,Chore: water the plants 12/04/2024 — before lunch,12/04/2024
631,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Task: book dentist every Saturday — asap,every Saturday
632,recurrence+date,2024-10-06T00:00:00+00:00,FREQ=WEEKLY;BYDAY=MO,TODO: book dentist every Monday starting 2024-10-06 after work,every Monday starting 2024-10-06
633,recurrence+date,2026-04-20T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SA,Chore: wash car every Saturday starting 04/20/2026 — asap,every Saturday starting 04/20/2026
634,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Odd jobs: update spreadsheet every year on 25/12 on weekends #home,every year on 25/12 on weekends
635,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Bills: clean garage every 2 weeks,every 2 weeks
636,date-only,2025-08-02T00:00:00+00:00,,Reminder: 02/08/2025 update spreadsheet (evening),02/08/2025
637,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,TODO: every Friday update spreadsheet,every Friday
638,recurrence-only,,FREQ=DAILY;INTERVAL=3,Odd jobs: buy milk every 3 days,every 3 days
639,recurrence-only,,FREQ=MONTHLY,Note: water the plants every month after work,every month
640,date-only,2026-06-23T00:00:00+00:00,,Next: book dentist 06/23/2026,06/23/2026
641,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Odd jobs: every Thursday mow the lawn for project X,every Thursday
642,recurrence-only,,FREQ=DAILY;INTERVAL=4,Reminder: water the plants every 4 days,every 4 days
643,date-only,2025-12-30T00:00:00+00:00,,Note: 30/12/2025 buy milk (low),30/12/2025
644,recurrence+date,2026-04-21T00:00:00+00:00,FREQ=MONTHLY;INTERVAL=3,Errands: book dentist every quarter starting 04/21/2026,every quarter starting 04/21/2026
645,date-only,2026-06-02T00:00:00+00:00,,Task: 02/06/2026 update spreadsheet at Bunnings,02/06/2026
646,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: water the plants every second week at 9am with John,every second week at 9am
647,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Bills: mow the lawn each fortnight on weekdays (evening),each fortnight on weekdays
648,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Next: email client every second week at 9am,every second week at 9am
649,recurrence-only,,FREQ=DAILY;INTERVAL=5,Plan: wash car every 5 days,every 5 days
650,recurrence-only,,FREQ=MONTHLY,Task: every month on the 1st book dentist for project X,every month on the 1st
651,recurrence-only,,FREQ=MONTHLY,update spreadsheet every month at 5:30pm — before lunch,every month at 5:30pm
652,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Bills: every 3 weeks water the plants,every 3 weeks
653,date-only,2025-10-20T00:00:00+00:00,,Follow up: book dentist 2025-10-20,2025-10-20
654,date-only,2025-09-19T00:00:00+00:00,,Chore: clean garage 09/19/2025,09/19/2025
655,recurrence-only,,FREQ=YEARLY,Follow up: every year review PR — asap,every year
656,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Odd jobs: every 4 weeks on weekends buy milk,every 4 weeks on weekends
657,recurrence+date,2026-04-21T00:00:00+00:00,FREQ=WEEKLY;BYDAY=WE,Follow up: every Wednesday starting 04/21/2026 buy milk at Bunnings,every Wednesday starting 04/21/2026
658,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Errands: pay electricity bill every Tuesday (low),every Tuesday
659,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: call plumber every 2 weeks at 5:30pm with John,every 2 weeks at 5:30pm
660,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,every 2 months call plumber for project X,every 2 months
661,date-only,2026-04-16T00:00:00+00:00,,email client 16/04/2026,16/04/2026
662,date-only,2026-02-24T00:00:00+00:00,,Follow up: buy milk 02/24/2026 (evening),02/24/2026
663,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",TODO: call plumber every weekday for project X,every weekday
664,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Odd jobs: every Wednesday on weekdays backup photos at Bunnings,every Wednesday on weekdays
665,date-only,2026-03-01T00:00:00+00:00,,Bills: email client 2026-03-01 at Bunnings,2026-03-01
666,date-only,2024-11-07T00:00:00+00:00,,TODO: email client 07/11/2024 — before lunch,07/11/2024
667,recurrence-only,,FREQ=MONTHLY,Plan: water the plants every month on the 1st at Bunnings,every month on the 1st
668,date-only,2025-04-08T00:00:00+00:00,,book dentist 08/04/2025 after work,08/04/2025
669,date-only,2024-10-28T00:00:00+00:00,,Reminder: pay electricity bill 28/10/2024 for project X,28/10/2024
670,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: each fortnight water the plants with John,each fortnight
671,recurrence-only,,FREQ=DAILY;INTERVAL=4,Follow up: every 4 days at 9am wash car #home,every 4 days at 9am
672,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,TODO: every Wednesday email client after work,every Wednesday
673,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Task: book dentist every year on 25/12 for project X,every year on 25/12
674,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Follow up: pay electricity bill every 3 weeks #home,every 3 weeks
675,date-only,2024-12-07T00:00:00+00:00,,Follow up: book dentist 2024-12-07 for project X,2024-12-07
676,date-only,2026-09-08T00:00:00+00:00,,water the plants 08/09/2026,08/09/2026
677,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Groceries: every Sunday buy milk (evening),every Sunday
678,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Next: every Monday at 9am mow the lawn (low),every Monday at 9am
679,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Task: update spreadsheet every 2 weeks,every 2 weeks
680,recurrence-only,,FREQ=DAILY;INTERVAL=2,wash car every 2 days,every 2 days
681,date-only,2025-08-13T00:00:00+00:00,,Note: review PR 08/13/2025,08/13/2025
682,date-only,2024-12-26T00:00:00+00:00,,Chore: 2024-12-26 clean garage (evening),2024-12-26
683,recurrence-only,,FREQ=DAILY;INTERVAL=5,Bills: buy milk every 5 days on weekends (low),every 5 days on weekends
684,recurrence-only,,FREQ=DAILY;INTERVAL=4,TODO: every 4 days at 9am clean garage #work,every 4 days at 9am
685,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Reminder: call plumber every second week #home,every second week
686,date-only,2024-10-29T00:00:00+00:00,,TODO: clean garage 29/10/2024 #home,29/10/2024
687,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Note: every Tuesday at 5:30pm update spreadsheet #work,every Tuesday at 5:30pm
688,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Follow up: mow the lawn every Monday on weekdays — before lunch,every Monday on weekdays
689,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Odd jobs: water the plants every Wednesday on weekends — asap,every Wednesday on weekends
690,date-only,2026-03-14T00:00:00+00:00,,Follow up: mow the lawn 14/03/2026,14/03/2026
691,recurrence-only,,FREQ=DAILY;INTERVAL=5,Task: wash car every 5 days,every 5 days
692,date-only,2024-12-02T00:00:00+00:00,,Odd jobs: 2024-12-02 email client — asap,2024-12-02
693,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Next: review PR every 2 months,every 2 months
694,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Groceries: pay electricity bill every Wednesday #home,every Wednesday
695,recurrence+date,2026-09-12T00:00:00+00:00,FREQ=MONTHLY,Note: mow the lawn every month on the 1st starting 12/09/2026 #home,every month on the 1st starting 12/09/2026
696,date-only,2026-03-30T00:00:00+00:00,,Follow up: pay electricity bill 03/30/2026 — asap,03/30/2026
697,date-only,2026-03-30T00:00:00+00:00,,Plan: email client 2026-03-30,2026-03-30
698,date-only,2025-03-27T00:00:00+00:00,,water the plants 2025-03-27 with John,2025-03-27
699,date-only,2026-04-16T00:00:00+00:00,,Bills: clean garage 16/04/2026,16/04/2026
700,recurrence+date,2025-09-16T00:00:00+00:00,FREQ=DAILY;INTERVAL=5,Reminder: clean garage every 5 days starting 16/09/2025,every 5 days starting 16/09/2025
701,recurrence-only,,FREQ=YEARLY,Chore: every year pay electricity bill (low),every year
702,recurrence+date,2025-10-31T00:00:00+00:00,FREQ=DAILY;INTERVAL=3,update spreadsheet every 3 days starting 31/10/2025,every 3 days starting 31/10/2025
703,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Plan: call plumber every Sunday #work,every Sunday
704,date-only,2025-06-12T00:00:00+00:00,,Follow up: 2025-06-12 call plumber #home,2025-06-12
705,date-only,2026-04-08T00:00:00+00:00,,clean garage 08/04/2026 with John,08/04/2026
706,date-only,2026-07-14T00:00:00+00:00,,Odd jobs: water the plants 14/07/2026 after work,14/07/2026
707,date-only,2025-03-28T00:00:00+00:00,,Chore: 2025-03-28 call plumber,2025-03-28
708,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,clean garage every Wednesday — asap,every Wednesday
709,recurrence-only,,FREQ=DAILY;INTERVAL=5,Plan: every 5 days water the plants,every 5 days
710,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Follow up: wash car every year on weekdays — asap,every year on weekdays
711,date-only,2025-06-23T00:00:00+00:00,,Follow up: buy milk 23/06/2025 — asap,23/06/2025
712,date-only,2026-05-26T00:00:00+00:00,,Reminder: book dentist 26/05/2026 — asap,26/05/2026
713,date-only,2026-09-20T00:00:00+00:00,,Chore: backup photos 2026-09-20,2026-09-20
714,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Plan: mow the lawn every day on weekdays #home,every day on weekdays
715,date-only,2026-08-03T00:00:00+00:00,,Odd jobs: water the plants 03/08/2026,03/08/2026
716,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Plan: every 4 weeks wash car,every 4 weeks
717,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,email client every week on Monday — before lunch,every week on Monday
718,recurrence-only,,FREQ=MONTHLY,Groceries: update spreadsheet every month on weekends (low),every month on weekends
719,date-only,2025-08-09T00:00:00+00:00,,TODO: call plumber 09/08/2025,09/08/2025
720,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Odd jobs: mow the lawn every year on 25/12,every year on 25/12
721,date-only,2025-06-19T00:00:00+00:00,,2025-06-19 update spreadsheet,2025-06-19
722,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Next: pay electricity bill every second week on weekends (low),every second week on weekends
723,date-only,2024-09-28T00:00:00+00:00,,Plan: review PR 2024-09-28 at Bunnings,2024-09-28
724,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: book dentist every 2 weeks on weekdays — asap,every 2 weeks on weekdays
725,date-only,2025-07-17T00:00:00+00:00,,Task: review PR 2025-07-17 #work,2025-07-17
726,recurrence-only,,FREQ=DAILY;INTERVAL=3,Odd jobs: wash car every 3 days on weekends #home,every 3 days on weekends
727,date-only,2025-05-26T00:00:00+00:00,,Groceries: 05/26/2025 update spreadsheet (low),05/26/2025
728,date-only,2026-06-04T00:00:00+00:00,,Note: call plumber 2026-06-04 at Bunnings,2026-06-04
729,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",every Monday on weekdays update spreadsheet,every Monday on weekdays
730,date-only,2026-09-08T00:00:00+00:00,,wash car 08/09/2026,08/09/2026
731,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,call plumber every year on 25/12 #work,every year on 25/12
732,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: book dentist each fortnight,each fortnight
733,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Chore: every Sunday water the plants with John,every Sunday
734,date-only,2024-09-28T00:00:00+00:00,,TODO: pay electricity bill 09/28/2024 after work,09/28/2024
735,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Follow up: update spreadsheet every Wednesday at Bunnings,every Wednesday
736,recurrence-only,,FREQ=MONTHLY,Reminder: every month mow the lawn,every month
737,date-only,2026-09-10T00:00:00+00:00,,Groceries: clean garage 10/09/2026 — asap,10/09/2026
738,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,pay electricity bill every Saturday (low),every Saturday
739,date-only,2026-09-24T00:00:00+00:00,,Errands: 09/24/2026 book dentist for project X,09/24/2026
740,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Errands: every 4 weeks wash car,every 4 weeks
741,date-only,2026-06-14T00:00:00+00:00,,water the plants 2026-06-14,2026-06-14
742,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Groceries: email client every Saturday,every Saturday
743,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,buy milk every quarter (evening),every quarter
744,recurrence-only,,FREQ=DAILY;INTERVAL=5,Errands: clean garage every 5 days at Bunnings,every 5 days
745,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Odd jobs: wash car every Thursday,every Thursday
746,date-only,2026-02-05T00:00:00+00:00,,Next: 2026-02-05 book dentist after work,2026-02-05
747,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Next: every 2 weeks on weekdays mow the lawn — asap,every 2 weeks on weekdays
748,date-only,2025-11-16T00:00:00+00:00,,Bills: mow the lawn 16/11/2025 after work,16/11/2025
749,recurrence+date,2025-10-29T00:00:00+00:00,FREQ=DAILY;INTERVAL=5,Groceries: mow the lawn every 5 days starting 2025-10-29 for project X,every 5 days starting 2025-10-29
750,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,update spreadsheet every week on Monday with John,every week on Monday
751,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Note: every weekday at 9am water the plants,every weekday at 9am
752,date-only,2025-09-03T00:00:00+00:00,,Chore: call plumber 2025-09-03 (low),2025-09-03
753,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Groceries: pay electricity bill every Tuesday with John,every Tuesday
754,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Chore: every week on Monday on weekdays backup photos,every week on Monday on weekdays
755,recurrence-only,,FREQ=DAILY;INTERVAL=3,TODO: water the plants every 3 days at 9am — asap,every 3 days at 9am
756,recurrence-only,,FREQ=MONTHLY,Odd jobs: every month on the 1st pay electricity bill (evening),every month on the 1st
757,recurrence-only,,FREQ=DAILY;INTERVAL=5,Errands: every 5 days call plumber — before lunch,every 5 days
758,date-only,2026-01-31T00:00:00+00:00,,Task: water the plants 2026-01-31 (evening),2026-01-31
759,recurrence-only,,FREQ=DAILY;INTERVAL=2,TODO: book dentist every second day,every second day
760,date-only,2025-01-21T00:00:00+00:00,,Errands: 2025-01-21 buy milk at Bunnings,2025-01-21
761,date-only,2025-02-19T00:00:00+00:00,,Reminder: pay electricity bill 2025-02-19 after work,2025-02-19
762,recurrence-only,,FREQ=DAILY,Bills: every day email client (low),every day
763,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,TODO: wash car every Friday on weekends,every Friday on weekends
764,date-only,2025-09-03T00:00:00+00:00,,Reminder: call plumber 03/09/2025 — asap,03/09/2025
765,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,clean garage every second week on weekdays #work,every second week on weekdays
766,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,every 2 months at 9am buy milk,every 2 months at 9am
767,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,TODO: every year on 25/12 mow the lawn after work,every year on 25/12
768,recurrence-only,,FREQ=MONTHLY,Task: every month on the 1st at 5:30pm pay electricity bill #home,every month on the 1st at 5:30pm
769,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Next: wash car every quarter at 9am for project X,every quarter at 9am
770,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,every 2 months wash car — before lunch,every 2 months
